City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
360,Nísia Floresta,BR,24.45000000000005,-6.0911,-35.2086,Rancho Crepusculo
362,Shache,CN,24.18000000000001,38.4167,77.2406,Delong Hotel
363,Hobyo,SO,25.76000000000005,5.3505,48.5268,Halane Hotel and Restaurent
364,Vanimo,PG,25.900000000000034,-2.6741,141.3028,Vahmoneh Lodge Vanimo
365,Nanga Eboko,CM,20.19,4.6833,12.3667,Motel Papi Palace
366,Hamilton,US,28.970000000000034,39.1834,-84.5333,Six Acres Bed & Breakfast
368,Kirakira,SB,27.81,-10.4544,161.9205,SanBiz Lodge
370,Faya,SA,21.29000000000002,18.3851,42.4509,مقبرة ال مجمل
371,San Fernando,PH,28.970000000000034,15.0286,120.6898,Maharlika Hostel
372,Assiniboia,CA,21.900000000000034,49.6334,-105.9845,Canalta Hotel Assiniboia
373,Balikpapan,ID,24.890000000000047,-1.2675,116.8289,ibis Balikpapan
375,Bud,US,28.970000000000034,39.446999999999996,-86.1758,Ted McQuinn Trust
376,Port Blair,IN,28.75,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
382,Ibrā’,OM,25.94,22.6906,58.5334,مزرعة راحة النفوس المنزفة
384,Road Town,VG,28.050000000000008,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
389,Paracuru,BR,27.840000000000032,-3.41,-39.0306,Hotel Vento Brasil
391,Belmonte,BR,25.280000000000033,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
392,Samandağ,TR,22.29000000000002,36.0842,35.9771,Anadolu Palace Hotel
393,Moerai,PF,23.02000000000004,-22.4333,-151.3333,Le Manotel
394,Marabu,MY,23.080000000000037,4.4148,114.0089,"Mega Hotel, Miri"
395,Makakilo City,US,28.18000000000001,21.3469,-158.0858,Marriott's Ko Olina Beach Club
398,Alugan,PH,26.11000000000001,12.2188,125.4808,JM Lodge
402,Sibiti,CG,21.230000000000018,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
404,Manacapuru,BR,30.320000000000054,-3.2997,-60.6206,Novo Hotel
408,Cockburn Town,TC,27.980000000000015,21.4612,-71.1419,Osprey Beach Hotel
409,Marshall,US,23.900000000000034,34.3834,-86.3333,Riverview Campground
410,Kipini,KE,25.330000000000037,-2.5257,40.5262,Delta Sea Mall
414,Kandrian,PG,26.86000000000001,-6.2167,149.55,Kandrian Station
416,Shouguang,CN,23.54000000000002,36.88,118.7375,Communications Hotel
417,Muscat,OM,30.01000000000005,23.6139,58.5922,Mutrah Hotel
418,Finschhafen,PG,27.600000000000023,-6.6024,147.8681,Cossam Guest House
420,Huangmei,CN,24.470000000000034,30.1924,116.025,Tianxiachan Hotel
421,Fukuchiyama,JP,24.160000000000025,35.3,135.1167,Fukuchiyama Ark Hotel
426,Luoyang,CN,27.94,34.6836,112.4536,易家国际青年旅舍
429,Fort Morgan,US,29.410000000000025,40.2503,-103.8,Hampton Inn Fort Morgan
434,Nautla,MX,30.390000000000047,20.2167,-96.7833,Casa Blanca
442,Neryungri,RU,20.370000000000005,56.6709,124.6491,Pyat' Zvozd
443,Jasper,US,26.920000000000016,37.2001,-94.3502,Guest House Motel
446,Hirara,JP,26.150000000000034,24.8,125.2833,Hotel Atoll Emerald Miyakojima
447,Biltine,TD,31.69,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
449,Miles City,US,24.54000000000002,46.4083,-105.8406,FairBridge Inn & Suites Miles City
454,Sibolga,ID,23.77000000000004,1.7427,98.7792,Hotel Syariah CN Darussalam
456,Millinocket,US,30.01000000000005,45.6573,-68.7098,Katahdin Inn & Suites
457,Gizo Government Station,SB,28.340000000000032,-8.103,156.8419,Imagination Island
462,Kota,IN,31.75,25.1833,75.8333,Hotel Tanishq
466,Hasaki,JP,22.379999999999995,35.7333,140.8333,Hotel Sunrise Choshi
469,Buchanan,LR,24.980000000000015,5.8808,-10.0467,Kamaneahn Hotel Inc
471,Mahébourg,MU,24.160000000000025,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
473,Salinópolis,BR,25.44,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
475,Guilin,CN,20.06,25.2819,110.2864,Grand 0773 Hotel
476,Kahului,US,30.01000000000005,20.8947,-156.47,Maui Seaside Hotel
481,Terrace Bay,CA,24.79000000000002,48.7834,-87.1,Drifters Motel & Restaurant
482,Guerrero Negro,MX,20.830000000000037,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
484,Bangkal,PH,26.36000000000001,6.0667,121.0667,JB's Resort
487,Pemangkat,ID,24.890000000000047,1.1667,108.9667,Ramah Kost KITA
490,Pierre,US,31.51000000000005,44.3683,-100.351,Ramkota Hotel
493,Mayumba,GA,24.120000000000005,-3.432,10.6554,LIKWALE LODGE
494,Nabire,ID,25.56,-3.3667,135.4833,Hotel Nusantara Nabire
496,Mbanza-Ngungu,CD,20.629999999999995,-5.25,14.8667,Hotel Full Business
