City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,Huarmey,-10.0681,-78.1522,19.08000000000004,81,96,3.76,PE,2021-06-06 22:37:35
87,Honiara,-9.4333,159.95,29.02000000000004,72,8,3.05,SB,2021-06-06 22:37:37
88,Boffa,10.1667,-14.0333,26.640000000000043,88,97,2.75,GN,2021-06-06 22:37:39
89,Dawei,14.0833,98.2,25.170000000000016,91,100,0.98,MM,2021-06-06 22:37:41
90,Punta Alta,-38.8759,-62.0736,11.07000000000005,47,100,4.58,AR,2021-06-06 22:37:43
91,Altamira,-3.2033,-52.2064,25.689999999999998,71,55,0.81,BR,2021-06-06 22:37:45
92,Tommot,58.9564,126.2925,12.980000000000018,84,83,6.09,RU,2021-06-06 22:37:48
93,Mataura,-46.1927,168.8643,9.710000000000036,77,59,1.51,NZ,2021-06-06 22:37:50
94,Egvekinot,66.3167,-179.1667,3.6100000000000136,59,8,0.54,RU,2021-06-06 22:35:12
95,Mossamedes,-15.1961,12.1522,23.410000000000025,50,41,4.14,AO,2021-06-06 22:37:53
96,Hong Kong,22.2855,114.1577,27.99000000000001,84,47,2.68,HK,2021-06-06 22:34:51
97,Miramar,25.9873,-80.2323,30.57000000000005,72,75,6.69,US,2021-06-06 22:34:22
98,Santo Domingo,18.5001,-69.9886,24.82000000000005,89,98,1.34,DO,2021-06-06 22:35:37
99,Saskylakh,71.9167,114.0833,4.020000000000039,56,77,2.05,RU,2021-06-06 22:38:02
100,Pangnirtung,66.1451,-65.7125,0.27000000000003865,93,26,1.28,CA,2021-06-06 22:38:05
101,Fortuna,40.5982,-124.1573,21.77000000000004,60,20,1.79,US,2021-06-06 22:38:07
102,Dikson,73.5069,80.5464,-1.4699999999999704,92,100,5.35,RU,2021-06-06 22:38:09
103,Hofn,64.2539,-15.2082,8.330000000000041,98,95,5.7,IS,2021-06-06 22:35:16
104,Arraial do Cabo,-22.9661,-42.0278,22.980000000000018,94,75,9.15,BR,2021-06-06 22:38:13
105,Bouna,9.2667,-3.0,22.99000000000001,89,52,2.05,CI,2021-06-06 22:38:14
106,Sumenep,-7.0167,113.8667,25.939999999999998,83,26,1.34,ID,2021-06-06 22:38:16
107,Geraldton,-28.7667,114.6,13.230000000000018,82,94,7.9,AU,2021-06-06 22:38:18
108,Tasiilaq,65.6145,-37.6368,5.090000000000032,91,98,2.34,GL,2021-06-06 22:34:01
109,Mapastepec,15.4333,-92.9,29.53000000000003,80,60,2.13,MX,2021-06-06 22:38:21
110,Port Lincoln,-34.7333,135.8667,16.010000000000048,52,94,10.64,AU,2021-06-06 22:38:23
111,Yagoua,10.3411,15.2329,29.75,49,31,1.94,CM,2021-06-06 22:38:25
112,Saint Paul Harbor,57.79,-152.4072,13.270000000000039,52,12,2.74,US,2021-06-06 22:38:27
113,Ilo,-17.6394,-71.3375,16.720000000000027,86,18,2.13,PE,2021-06-06 22:38:31
114,Makkah al Mukarramah,21.4267,39.8261,29.75,55,23,1.59,SA,2021-06-06 22:38:33
115,Aasiaat,68.7098,-52.8699,2.8100000000000023,85,65,3.31,GL,2021-06-06 22:37:50
116,Cabo San Lucas,22.8909,-109.9124,38.23000000000002,45,1,4.63,MX,2021-06-06 22:35:45
117,Saint George,37.1041,-113.5841,40.26000000000005,11,1,2.68,US,2021-06-06 22:33:54
118,San Isidro,-12.1167,-77.05,18.77000000000004,85,90,3.98,PE,2021-06-06 22:38:40
119,Esperance,-33.8667,121.9,13.910000000000025,61,100,12.25,AU,2021-06-06 22:38:41
120,Nome,64.5011,-165.4064,2.8700000000000045,80,90,5.14,US,2021-06-06 22:38:26
121,Kapaa,22.0752,-159.319,28.180000000000007,71,40,1.79,US,2021-06-06 22:38:45
122,Vanavara,60.34,102.2797,6.0,54,72,1.72,RU,2021-06-06 22:38:47
123,Along,28.1667,94.7667,22.07000000000005,99,100,0.78,IN,2021-06-06 22:38:48
124,Carnarvon,-24.8667,113.6333,16.04000000000002,67,90,4.12,AU,2021-06-06 22:34:43
125,Desenzano del Garda,45.468,10.534,19.99000000000001,88,75,2.12,IT,2021-06-06 22:38:52
126,Uttaradit,17.6667,100.5,21.920000000000016,97,100,0.47,TH,2021-06-06 22:38:54
127,Avilés,43.5547,-5.9248,15.650000000000034,94,75,2.06,ES,2021-06-06 22:38:56
128,Hammerfest,70.6634,23.6821,4.25,81,0,2.57,NO,2021-06-06 22:38:58
129,Paphos,34.7667,32.4167,20.950000000000045,52,0,2.57,CY,2021-06-06 22:38:59
130,Chui,-33.6971,-53.4616,10.210000000000036,79,83,2.66,UY,2021-06-06 22:39:01
131,Wajir,1.7471,40.0573,24.480000000000018,67,15,8.97,KE,2021-06-06 22:39:05
132,Ancud,-41.8697,-73.8203,11.240000000000009,85,100,7.31,CL,2021-06-06 22:38:14
133,Morki,56.4303,48.9947,13.020000000000039,90,11,0.67,RU,2021-06-06 22:35:12
134,Nyurba,63.2842,118.3319,10.370000000000005,64,92,6.18,RU,2021-06-06 22:39:10
135,Chelyabinsk,55.1544,61.4297,12.050000000000011,66,40,2.7,RU,2021-06-06 22:39:11
136,Antibes,43.5624,7.1278,19.710000000000036,90,75,1.39,FR,2021-06-06 22:39:13
137,Meulaboh,4.1363,96.1285,23.439999999999998,88,100,2.41,ID,2021-06-06 22:35:35
138,East London,-33.0153,27.9116,16.82000000000005,39,0,4.13,ZA,2021-06-06 22:35:08
139,Severo-Kuril'sk,50.6789,156.125,6.110000000000014,93,100,4.87,RU,2021-06-06 22:39:22
140,Dalvik,65.9702,-18.5286,10.960000000000036,69,82,3.21,IS,2021-06-06 22:39:24
141,Castro,-24.7911,-50.0119,15.75,71,96,1.56,BR,2021-06-06 22:34:32
142,Great Yarmouth,52.6083,1.7305,14.490000000000009,70,88,3.41,GB,2021-06-06 22:39:27
143,Pisco,-13.7,-76.2167,18.340000000000032,77,0,3.6,PE,2021-06-06 22:39:29
144,Atambua,-9.1061,124.8925,22.140000000000043,75,33,2.02,ID,2021-06-06 22:38:25
145,Marevo,57.3146,32.0804,14.0,83,47,1.5,RU,2021-06-06 22:39:32
146,Otradnoye,59.7775,30.8181,16.03000000000003,84,75,1.51,RU,2021-06-06 22:39:34
147,Comodoro Rivadavia,-45.8667,-67.5,9.920000000000016,57,0,5.14,AR,2021-06-06 22:36:36
148,Kita,13.0349,-9.4895,30.939999999999998,38,56,1.16,ML,2021-06-06 22:39:37
149,Sitka,57.0531,-135.33,11.939999999999998,71,90,2.06,US,2021-06-06 22:39:39
150,Araguari,-18.6472,-48.1872,21.160000000000025,44,100,1.1,BR,2021-06-06 22:36:04
151,Jaisalmer,26.9147,70.9181,30.02000000000004,56,0,7.9,IN,2021-06-06 22:39:44
152,Santo André,-23.6639,-46.5383,19.760000000000048,85,75,2.58,BR,2021-06-06 22:39:46
153,Havre-St-Pierre,50.2334,-63.5986,14.200000000000045,51,1,7.2,CA,2021-06-06 22:39:48
154,Lüderitz,-26.6481,15.1594,20.29000000000002,31,1,4.49,NA,2021-06-06 22:36:28
155,Port Alfred,-33.5906,26.891,17.810000000000002,35,0,3.73,ZA,2021-06-06 22:39:52
156,Bonthe,7.5264,-12.505,26.680000000000007,87,100,3.89,SL,2021-06-06 22:39:53
157,Port-Gentil,-0.7193,8.7815,26.980000000000018,83,90,4.12,GA,2021-06-06 22:39:55
158,Nhulunbuy,-12.2333,136.7667,26.340000000000032,78,90,3.6,AU,2021-06-06 22:39:57
159,Nanortalik,60.1432,-45.2371,6.82000000000005,74,100,6.22,GL,2021-06-06 22:40:01
160,Ust-Nera,64.5667,143.2,17.450000000000045,62,100,3.03,RU,2021-06-06 22:40:06
161,Port Elizabeth,-33.918,25.5701,16.82000000000005,28,0,4.38,ZA,2021-06-06 22:40:08
162,Valparaíso,-33.0393,-71.6273,13.04000000000002,63,0,2.57,CL,2021-06-06 22:38:22
163,Inírida,3.8653,-67.9239,24.0,95,73,1.0,CO,2021-06-06 22:40:12
164,Brae,60.3964,-1.353,8.950000000000045,83,41,1.54,GB,2021-06-06 22:40:13
